incomeBetween100to200,blockFips,incomeLessThan25,incomeBelowPoverty,medianIncome,incomeGreater200,educationBachelorOrGreater,incomeBetween50to100,educationHighSchoolGraduate,incomeBetween25to50,lat,lng
0.2754,360470497002005,0.25959,0.229,74643.0,0.0339,0.337,0.31828,0.7935,0.11287,40.7145,-73.9425
0.18512,360610185002000,0.11581,0.166,79115.0,0.1826,0.7321,0.27388,0.964,0.2426,40.7947,-73.9667
0.16746,360610077001000,0.23086,0.166,69764.0,0.0837,0.8153,0.43062,0.9789,0.08732,40.7388,-74.0018
0.24916,360610098004000,0.09699,0.166,96041.0,0.2324,0.7349,0.31104,0.9598,0.11037,40.7539,-73.9677
0.07025,360610229002001,0.6157,0.166,22190.0,0.0289,0.0731,0.14463,0.4538,0.1405,40.8241,-73.9493
0.25192,360610083001000,0.24423,0.166,73925.0,0.1,0.5949,0.27308,0.9519,0.13077,40.7429,-74.0028
0.23505,360610195005000,0.15625,0.166,106736.0,0.2677,0.6233,0.21603,0.7696,0.125,40.8012,-73.966
0.25735,360610087001000,0.14216,0.166,158532.0,0.4105,0.7042,0.16605,0.8692,0.0239,40.7427,-73.9957
0.12857,360610227002000,0.29286,0.166,59590.0,0.0661,0.3518,0.31964,0.881,0.19286,40.8234,-73.9457
0.23345,360610034002001,0.25253,0.166,54486.0,0.0281,0.4948,0.30303,0.8177,0.18294,40.7278,-73.9808
0.15527,360610144022000,0.18669,0.166,55565.0,0.037,0.8119,0.43438,0.9716,0.18669,40.7769,-73.9467
0.10592,360610253005000,0.44979,0.166,28990.0,0.0,0.1281,0.19257,0.4901,0.25172,40.8448,-73.9396
0.31588,360610080001003,0.17568,0.166,68870.0,0.1402,0.6233,0.19595,0.9747,0.1723,40.7488,-73.977
0.20443,360610149005000,0.06527,0.166,216307.0,0.5049,0.8395,0.117,0.9931,0.10837,40.7707,-73.9817
0.2565,360610108003000,0.07571,0.166,117728.0,0.2576,0.7139,0.24294,0.9679,0.16723,40.7584,-73.9648
0.35171,360610070006000,0.08365,0.166,101854.0,0.1369,0.7947,0.42776,0.9961,0.0,40.7439,-73.9743
0.35992,360610034004001,0.20817,0.166,77188.0,0.0447,0.4129,0.20039,0.7951,0.18677,40.7305,-73.983
0.03632,360610287003001,0.38378,0.166,35118.0,0.0,0.1343,0.35109,0.529,0.22881,40.8643,-73.928
0.22087,360610193006001,0.5271,0.166,24232.0,0.0,0.2773,0.08266,0.5814,0.16938,40.7999,-73.9638
0.21247,360610044008000,0.12579,0.166,81306.0,0.1744,0.6719,0.29176,0.9836,0.19556,40.7328,-73.9799
0.24661,360610074003000,0.16999,0.166,152329.0,0.4126,0.8351,0.14206,0.9649,0.02873,40.745400000000004,-73.9845
0.22564,360610070003001,0.10536,0.166,87058.0,0.2186,0.7447,0.28446,0.9357,0.16594,40.7427,-73.9794
0.34496,360610078005003,0.01938,0.166,97806.0,0.1124,0.7443,0.45349,0.9418,0.06977,40.7447,-73.9741
0.32593,360610007001004,0.11065,0.166,120960.0,0.2567,0.8063,0.22559,0.9716,0.08112,40.7074,-74.0081
0.28417,360610054001004,0.1271,0.166,129260.0,0.3201,0.8219,0.09592,0.9958,0.17266,40.7391,-73.9936
0.18458,360610108004000,0.02804,0.166,266288.0,0.7243,0.7326,0.03271,0.9876,0.03037,40.7584,-73.9653
