routes_id,latitude,longitude,central_park,routes_status_code,uber_pool_distance,uber_pool_duration,uber_pool_high_estimate,uber_pool_low_estimate,uber_x_distance,uber_x_duration,uber_x_high_estimate,uber_x_low_estimate
0,40.7145,-73.9425,"(40.7829, -73.9654)",200.0,6.89,2100.0,22.0,17.0,6.89,2100.0,37.0,29.0
1,40.7947,-73.9667,"(40.7829, -73.9654)",200.0,1.06,300.0,10.0,8.0,1.06,300.0,9.0,6.0
2,40.7388,-74.0018,"(40.7829, -73.9654)",200.0,6.3,1800.0,24.0,23.0,6.3,1800.0,34.0,27.0
3,40.7539,-73.9677,"(40.7829, -73.9654)",200.0,2.71,960.0,13.0,12.0,2.71,960.0,18.0,14.0
4,40.8241,-73.9493,"(40.7829, -73.9654)",200.0,3.96,900.0,12.0,8.0,3.96,900.0,20.0,16.0
5,40.7429,-74.0028,"(40.7829, -73.9654)",200.0,6.12,1740.0,24.0,23.0,6.12,1740.0,33.0,26.0
6,40.8012,-73.966,"(40.7829, -73.9654)",200.0,1.92,540.0,9.0,9.0,1.92,540.0,13.0,9.0
7,40.7427,-73.9957,"(40.7829, -73.9654)",200.0,6.08,1740.0,24.0,23.0,6.08,1740.0,33.0,26.0
8,40.8234,-73.9457,"(40.7829, -73.9654)",200.0,4.29,960.0,12.0,8.0,4.29,960.0,21.0,16.0
9,40.7278,-73.9808,"(40.7829, -73.9654)",200.0,6.41,1560.0,23.0,22.0,6.41,1560.0,32.0,25.0
10,40.7769,-73.9467,"(40.7829, -73.9654)",200.0,1.23,480.0,10.0,8.0,1.23,480.0,9.0,7.0
11,40.8448,-73.9396,"(40.7829, -73.9654)",200.0,5.89,1140.0,17.0,12.0,5.89,1140.0,24.0,19.0
12,40.7488,-73.977,"(40.7829, -73.9654)",200.0,3.11,1380.0,16.0,15.0,3.11,1380.0,24.0,19.0
13,40.7707,-73.9817,"(40.7829, -73.9654)",200.0,1.62,600.0,9.0,8.0,1.62,600.0,13.0,10.0
14,40.7584,-73.9648,"(40.7829, -73.9654)",200.0,2.52,780.0,12.0,11.0,2.52,780.0,16.0,12.0
15,40.7439,-73.9743,"(40.7829, -73.9654)",200.0,4.96,900.0,17.0,16.0,4.96,900.0,23.0,18.0
16,40.7305,-73.983,"(40.7829, -73.9654)",200.0,6.12,1200.0,21.0,20.0,6.12,1200.0,30.0,24.0
17,40.8643,-73.928,"(40.7829, -73.9654)",200.0,7.95,1500.0,18.0,13.0,7.95,1500.0,27.0,21.0
18,40.7999,-73.9638,"(40.7829, -73.9654)",200.0,1.5,420.0,10.0,8.0,1.5,420.0,9.0,6.0
19,40.7328,-73.9799,"(40.7829, -73.9654)",200.0,6.08,1140.0,20.0,19.0,6.08,1140.0,30.0,24.0
20,40.7454,-73.9845,"(40.7829, -73.9654)",200.0,3.35,1080.0,15.0,14.0,3.35,1080.0,21.0,16.0
21,40.7427,-73.9794,"(40.7829, -73.9654)",200.0,5.35,960.0,18.0,17.0,5.35,960.0,25.0,20.0
22,40.7447,-73.9741,"(40.7829, -73.9654)",200.0,5.03,1020.0,18.0,17.0,5.03,1020.0,24.0,19.0
23,40.7074,-74.0081,"(40.7829, -73.9654)",200.0,8.93,1740.0,29.0,28.0,8.93,1740.0,39.0,31.0
24,40.7391,-73.9936,"(40.7829, -73.9654)",200.0,6.62,1680.0,24.0,23.0,6.62,1680.0,34.0,27.0
25,40.7584,-73.9653,"(40.7829, -73.9654)",200.0,2.55,780.0,12.0,11.0,2.55,780.0,16.0,12.0
26,40.7728,-73.9502,"(40.7829, -73.9654)",200.0,1.48,540.0,9.0,8.0,1.48,540.0,12.0,9.0
27,40.7709,-73.9917,"(40.7829, -73.9654)",200.0,3.66,660.0,13.0,12.0,3.66,660.0,18.0,14.0
28,40.8335,-73.9141,"(40.7829, -73.9654)",200.0,5.51,1740.0,22.0,17.0,5.51,1740.0,26.0,20.0
29,40.7716,-73.9506,"(40.7829, -73.9654)",200.0,1.4,480.0,10.0,8.0,1.4,480.0,9.0,7.0
30,40.7897,-73.976,"(40.7829, -73.9654)",200.0,0.81,360.0,10.0,8.0,0.81,360.0,9.0,6.0
31,40.7902,-73.9678,"(40.7829, -73.9654)",200.0,0.85,240.0,10.0,8.0,0.85,240.0,9.0,6.0
32,40.7179,-74.0148,"(40.7829, -73.9654)",200.0,7.5,1740.0,26.0,25.0,7.5,1740.0,37.0,29.0
33,40.7301,-73.9942,"(40.7829, -73.9654)",200.0,7.11,1860.0,26.0,25.0,7.11,1860.0,36.0,29.0
34,40.844,-73.9404,"(40.7829, -73.9654)",200.0,5.33,1140.0,15.0,10.0,5.33,1140.0,22.0,17.0
35,40.79,-73.9418,"(40.7829, -73.9654)",200.0,1.94,540.0,10.0,9.0,1.94,540.0,14.0,10.0
36,40.8184,-73.9389,"(40.7829, -73.9654)",200.0,3.32,900.0,12.0,8.0,3.32,900.0,19.0,15.0
37,40.7649,-73.9763,"(40.7829, -73.9654)",200.0,2.03,660.0,10.0,9.0,2.03,660.0,14.0,10.0
38,40.7471,-73.9867,"(40.7829, -73.9654)",200.0,3.73,1500.0,18.0,17.0,3.73,1500.0,26.0,20.0
39,40.753,-73.9959,"(40.7829, -73.9654)",200.0,5.1,1020.0,18.0,17.0,5.1,1020.0,25.0,19.0
40,40.7231,-74.0044,"(40.7829, -73.9654)",200.0,7.48,1980.0,28.0,27.0,7.48,1980.0,40.0,32.0
41,40.7723,-73.9533,"(40.7829, -73.9654)",200.0,1.25,480.0,10.0,8.0,1.25,480.0,9.0,7.0
42,40.7753,-73.954,"(40.7829, -73.9654)",200.0,1.31,420.0,10.0,8.0,1.31,420.0,9.0,7.0
43,40.7739,-73.9511,"(40.7829, -73.9654)",200.0,1.48,480.0,9.0,8.0,1.48,480.0,12.0,9.0
44,40.8031,-73.957,"(40.7829, -73.9654)",200.0,2.04,600.0,10.0,9.0,2.04,600.0,14.0,11.0
45,40.7975,-73.9626,"(40.7829, -73.9654)",200.0,1.26,420.0,10.0,8.0,1.26,420.0,9.0,6.0
46,40.7372,-73.9981,"(40.7829, -73.9654)",200.0,6.52,1740.0,25.0,24.0,6.52,1740.0,34.0,27.0
47,40.7479,-74.0005,"(40.7829, -73.9654)",200.0,5.48,1140.0,19.0,18.0,5.48,1140.0,27.0,21.0
48,40.7802,-73.9504,"(40.7829, -73.9654)",200.0,1.06,420.0,10.0,8.0,1.06,420.0,9.0,7.0
49,40.7377,-73.9831,"(40.7829, -73.9654)",200.0,5.91,960.0,19.0,18.0,5.91,960.0,26.0,21.0
50,40.7263,-73.8573,"(40.7829, -73.9654)",200.0,11.61,2520.0,42.0,33.0,11.61,2520.0,53.0,42.0
51,40.7267,-73.8569,"(40.7829, -73.9654)",200.0,11.32,2400.0,42.0,32.0,11.32,2400.0,52.0,42.0
52,40.7817,-73.9573,"(40.7829, -73.9654)",200.0,0.7,240.0,10.0,8.0,0.7,240.0,9.0,6.0
53,40.789,-73.9756,"(40.7829, -73.9654)",200.0,0.82,360.0,10.0,8.0,0.82,360.0,9.0,6.0
54,40.7522,-73.9702,"(40.7829, -73.9654)",200.0,4.47,840.0,16.0,15.0,4.47,840.0,22.0,17.0
55,40.7059,-73.8339,"(40.7829, -73.9654)",200.0,15.38,2580.0,48.0,38.0,15.38,2580.0,61.0,49.0
56,40.7943,-73.9675,"(40.7829, -73.9654)",200.0,1.48,480.0,10.0,8.0,1.48,480.0,9.0,6.0
57,40.7699,-73.9565,"(40.7829, -73.9654)",200.0,1.62,600.0,9.0,8.0,1.62,600.0,13.0,10.0
