lat,lng,avg_yelp_review
40.7145,-73.9425,4.6
40.7947,-73.9667,4.15
40.7388,-74.0018,4.6
40.7539,-73.9677,4.3
40.8241,-73.9493,4.35
40.7429,-74.0028,4.65
40.8012,-73.966,4.25
40.7427,-73.9957,4.35
40.8234,-73.9457,4.4
40.7278,-73.9808,4.65
40.7769,-73.9467,4.45
40.8448,-73.9396,4.3
40.7488,-73.977,4.45
40.7707,-73.9817,4.35
40.7584,-73.9648,4.25
40.7439,-73.9743,4.4
40.7305,-73.983,4.55
40.8643,-73.928,4.35
40.7999,-73.9638,4.25
40.7328,-73.9799,4.3
40.7454,-73.9845,4.35
40.7427,-73.9794,4.5
40.7447,-73.9741,4.35
40.7074,-74.0081,4.3
40.7391,-73.9936,4.45
40.7584,-73.9653,4.25
40.7728,-73.9502,4.4
40.7709,-73.9917,4.2
40.8335,-73.9141,4.05
40.7716,-73.9506,4.4
40.7897,-73.976,4.25
40.7902,-73.9678,4.1
40.7179,-74.0148,4.25
40.7301,-73.9942,4.45
40.844,-73.9404,4.4
40.79,-73.9418,4.5
40.8184,-73.9389,4.35
40.7649,-73.9763,4.4
40.7471,-73.9867,4.35
40.753,-73.9959,4.45
40.7231,-74.0044,4.3
40.7723,-73.9533,4.4
40.7753,-73.954,4.45
40.7739,-73.9511,4.4
40.8031,-73.957,4.3
40.7975,-73.9626,4.25
40.7372,-73.9981,4.45
40.7479,-74.0005,4.35
40.7802,-73.9504,4.4
40.7377,-73.9831,4.45
40.7263,-73.8573,4.2
40.7267,-73.8569,4.15
40.7817,-73.9573,4.2
40.789,-73.9756,4.25
40.7522,-73.9702,4.25
40.7059,-73.8339,4.3
40.7943,-73.9675,4.1
40.7699,-73.9565,4.35
40.766,-73.9914,4.5
40.6888,-73.9522,4.5
40.7493,-73.7142,3.9
40.7892,-73.9705,4.2
40.7571,-73.9647,4.25
40.7299,-73.9819,4.55
40.7796,-73.9493,4.4
40.7459,-73.9564,4.4
40.7467,-73.9854,4.35
40.7619,-73.9854,4.25
40.7341,-73.9896,4.25
40.7413,-73.9779,4.5
40.7351,-73.9531,4.35
40.8028,-73.9648,4.25
40.7196,-74.0109,4.35
40.7777,-73.9532,4.45
40.7087,-74.0058,4.35
40.7924,-73.9741,4.25
40.7756,-73.9846,4.15
40.7054,-74.0095,4.3
40.7108,-73.8543,4.1
40.7802,-73.9444,4.45
40.664,-73.9342,4.2
40.7349,-73.9863,4.3
40.7617,-73.9626,4.35
40.8394,-73.9381,4.35
40.7931,-73.9715,4.25
40.7788,-73.9538,4.35
40.6578,-73.9259,4.0
40.769,-73.9541,4.45
40.6633,-73.9824,4.3
40.7762,-73.9592,4.3
40.7604,-73.9617,4.3
40.778,-73.9774,4.15
40.7801,-73.9803,4.15
40.7447,-74.0052,4.6
40.6896,-73.9982,4.2
40.7306,-73.8519,4.15
40.7318,-74.0016,4.55
40.7594,-73.9712,4.4
40.748,-73.9572,4.45
40.7681,-73.9858,4.35
40.624,-74.0312,4.15
40.7161,-73.9548,4.45
40.7676,-73.9577,4.4
40.7073,-74.0046,4.35
40.5946,-73.9617,4.25
40.7426,-73.979,4.5
40.7793,-73.9496,4.4
40.7216,-73.9423,4.45
40.7128,-74.0059,4.4
40.7763,-73.9518,4.5
40.7676,-73.9813,4.45
40.5757,-73.9686,4.15
40.7777,-73.9883,4.15
40.8034,-73.9661,4.25
40.7133,-73.9395,4.6
40.8678,-73.9251,4.55
40.7592,-73.9903,4.45
40.7779,-73.9525,4.5
40.7064,-74.01,4.3
40.7108,-73.9878,4.5
40.7856,-73.9794,4.2
40.7281,-73.9812,4.65
40.7393,-73.9817,4.45
40.7736,-73.947,4.4
40.7633,-73.9628,4.4
40.7444,-73.9754,4.5
40.7796,-73.7804,3.3
40.7697,-73.9581,4.4
40.7075,-74.0113,4.4
40.7264,-73.9836,4.6
40.7983,-73.9416,4.55
40.7481,-73.9748,4.45
40.7993,-73.9689,4.2
40.7694,-73.9603,4.4
40.7751,-73.9481,4.4
40.7922,-73.9645,4.1
40.7366,-73.9934,4.4
40.6896,-73.9527,4.5
40.7324,-74.0081,4.55
40.7412,-73.9772,4.5
40.754,-73.9678,4.35
40.7382,-73.9965,4.45
40.764,-73.98,4.5
40.7401,-74.0039,4.6
40.7481,-73.9564,4.4
40.7723,-73.948,4.35
40.7681,-73.9527,4.35
40.7777,-73.9498,4.4
40.7951,-73.9676,4.1
40.6905,-73.9668,4.45
40.7612,-73.9978,4.4
40.7906,-73.9687,4.2
40.8666,-73.9217,4.5
40.7692,-73.9847,4.3
40.7075,-74.0059,4.35
40.6812,-73.9105,4.3
41.0412,-73.54,4.05
40.7634,-73.9596,4.4
40.7307,-73.9837,4.55
40.7242,-73.9878,4.65
40.7298,-73.9868,4.5
40.7658,-73.9781,4.5
40.7548,-73.9944,4.55
40.7437,-73.9585,4.45
40.7177,-73.9984,4.35
40.763,-73.9579,4.4
40.6663,-73.9402,3.95
40.7406,-73.9822,4.45
40.755,-73.9663,4.3
40.7621,-73.9956,4.5
40.7469,-73.9803,4.45
40.7111,-73.8272,4.1
40.7182,-74.0148,4.25
40.8217,-73.9486,4.4
40.7265,-73.9835,4.6
40.7441,-73.8792,4.25
40.7689,-73.9681,4.3
40.7032,-73.9914,4.4
40.7787,-73.9751,4.15
40.7265,-73.9851,4.6
40.7491,-73.9789,4.45
40.7793,-73.9496,4.4
40.7726,-73.926,4.5
40.7462,-73.9757,4.45
40.7346,-74.0018,4.6
40.7062,-74.0099,4.3
40.7704,-73.9566,4.3
40.7616,-73.9643,4.25
40.755,-73.9636,4.3
40.7588,-73.9907,4.55
40.6911,-73.9822,4.15
40.7417,-73.9806,4.5
40.7603,-73.995,4.55
40.8342,-73.9427,4.3
40.7604,-73.987,4.4
40.746,-73.9754,4.45
40.7771,-73.9496,4.4
40.6577,-73.9055,2.33333333333
40.7637,-73.9846,4.35
40.7095,-74.0094,4.35
40.7425,-73.9926,4.35
40.7088,-74.0143,4.45
40.7722,-73.9606,4.35
40.7489,-73.9765,4.5
40.7274,-73.9882,4.6
40.7512,-74.0026,4.35
40.7593,-73.9962,4.55
40.8008,-73.9611,4.25
40.7221,-73.9837,4.6
40.731,-73.9876,4.6
40.7928,-73.9758,4.25
40.753,-73.9695,4.25
40.7302,-73.9826,4.55
40.7663,-73.8288,4.35
40.7328,-74.0089,4.5
40.7992,-73.9674,4.25
40.7588,-73.9694,4.4
40.756,-73.9687,4.35
40.7297,-73.986,4.6
40.7444,-74.0,4.55
40.742,-73.9826,4.45
40.7976,-73.968,4.2
40.7836,-73.9491,4.5
40.7868,-73.9504,4.35
40.8035,-73.9567,4.3
40.708,-74.0149,4.45
40.7803,-73.9465,4.45
40.7861,-73.9777,4.25
40.7111,-74.0055,4.4
40.7356,-73.9828,4.4
40.7316,-73.9839,4.55
40.6167,-73.955,3.75
40.6503,-74.0135,3.9
40.7852,-73.9777,4.3
40.7842,-73.948,4.45
40.7633,-73.9785,4.4
40.7443,-73.9859,4.35
40.7462,-73.9757,4.45
40.6905,-73.9668,4.45
40.7087,-74.0058,4.35
40.7187,-73.9831,4.6
40.7489,-73.9732,4.4
