accuracy,confusion_matrix,feature_importances,log_loss,model,parameters,predictors,timestamp
0.697628167354,"[[9405   98    1]
 [2943   60    1]
 [1010   52    6]]",,0.723702616474,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",2017-03-16 18:17
0.707793164408,"[[9367  104   33]
 [2853  109   42]
 [ 873   62  133]]",[ 0.07521602  0.14711349  0.77767049],0.699523280856,rf,"{'max_features': 'auto', 'n_estimators': 500, 'min_samples_leaf': 10, 'random_state': 42, 'class_weight': None}","['bathrooms', 'bedrooms', 'price']",2017-03-16 18:30
0.70970830878,"[[9387   67   50]
 [2855   91   58]
 [ 849   62  157]]",[ 0.11066017  0.21640541  0.67293441],0.693430676414,xgb,"{'n_estimators': 500, 'objective': 'multi:softprob', 'learning_rate': 0.05, 'max_depth': 5}","['bathrooms', 'bedrooms', 'price']",2017-03-16 18:41
0.693503241014,"[[9258  245    1]
 [2855  149    0]
 [ 967   93    8]]",,0.709257006014,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","['price', 'bedrooms', 'bathrooms', 'description_length', 'num_photos', 'num_features']",2017-03-16 18:59
0.713464938126,"[[9160  310   34]
 [2567  379   58]
 [ 733  188  147]]",[ 0.37278375  0.10014773  0.02617405  0.18985133  0.12693393  0.18410923],0.653079161122,rf,"{'max_features': 'auto', 'n_estimators': 500, 'min_samples_leaf': 10, 'random_state': 42, 'class_weight': None}","['price', 'bedrooms', 'bathrooms', 'description_length', 'num_photos', 'num_features']",2017-03-16 19:25
0.714348850913,"[[9182  271   51]
 [2585  342   77]
 [ 697  197  174]]",[ 0.26825026  0.08910684  0.03218163  0.24509628  0.13520485  0.23016016],0.646302639173,xgb,"{'n_estimators': 500, 'objective': 'multi:softprob', 'learning_rate': 0.05, 'max_depth': 5}","['price', 'bedrooms', 'bathrooms', 'description_length', 'num_photos', 'num_features']",2017-03-16 19:45
0.698806717737,"[[9473   31    0]
 [2990   14    0]
 [1053   15    0]]",,0.74247753952,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': None}","['indexpred', 'bathrooms', 'bedroomspred', 'price', 'price_sq', 'price_log', 'description_length', 'num_photos', 'num_features', 'latitude', 'longitude', 'indexword', u'access', u'amazing', u'amenities', u'apartment', u'apartments', u'appliances', u'area', u'available', u'bath', u'bathroom', u'beautiful', u'bedroom', u'bedroomsword', u'bond', u'br', u'broker', u'building', u'ceilings', u'center', u'central', u'city', u'close', u'closet', u'closets', u'com', u'concierge', u'contact', u'deck', u'dishwasher', u'doorman', u'dryer', u'east', u'elevator', u'email', u'equal', u'estate', u'features', u'fee', u'fitness', u'floor', u'floors', u'free', u'granite', u'great', u'hardwood', u'high', u'home', u'hour', u'housing', u'including', u'information', u'just', u'kagglemanager', u'kitchen', u'large', u'laundry', u'li', u'light', u'living', u'located', u'location', u'luxury', u'manhattan', u'marble', u'modern', u'new', u'opportunity', u'park', u'private', u'real', u'renovated', u'renthop', u'restaurants', u'room', u'schedule', u'shopping', u'size', u'sized', u'space', u'spacious', u'stainless', u'steel', u'steps', u'storage', u'street', u'studio', u'subway', u'supports', u'text', u'today', u'unit', u'view', u'viewing', u'views', u'walk', u'washer', u'website_redacted', u'west', u'windows']",2017-03-18 00:20
0.717516205068,"[[9359  128   17]
 [2698  245   61]
 [ 772  159  137]]","[ 0.01852316  0.00563652  0.0344117   0.067735    0.06765971  0.06782149
  0.03098991  0.03527474  0.03289185  0.03563194  0.03446983  0.01876204
  0.00312022  0.00435077  0.00290468  0.01337138  0.00216967  0.00845834
  0.00357668  0.00273483  0.00265812  0.00614697  0.00394855  0.01237774
  0.0061388   0.00277947  0.03427342  0.00380432  0.01207763  0.00433113
  0.00410982  0.00243409  0.00303541  0.00282938  0.00452079  0.00286983
  0.01355157  0.00228702  0.00667997  0.0022896   0.00490905  0.00533894
  0.00245124  0.00368025  0.00385756  0.00706489  0.00247049  0.00423572
  0.00679741  0.01475656  0.00257368  0.00392894  0.00898592  0.00378506
  0.00440277  0.00623011  0.00865517  0.0053357   0.00458673  0.00248711
  0.00253653  0.00191416  0.00387851  0.0027323   0.0117162   0.01402137
  0.00712356  0.0074526   0.0020777   0.00401163  0.00666886  0.00663552
  0.00628558  0.0032835   0.00177438  0.00437115  0.00205189  0.00934804
  0.00258734  0.00421911  0.00390212  0.00399744  0.01008541  0.01232888
  0.00601793  0.00713879  0.00296304  0.00264329  0.00404072  0.00248351
  0.00795873  0.00464708  0.00668843  0.00732311  0.00311476  0.00234978
  0.00252641  0.00517274  0.00417385  0.00244052  0.00914384  0.0034473
  0.00533199  0.002842    0.00423111  0.00299943  0.00306199  0.00263285
  0.02125851  0.00244327  0.00574989]",0.63923074483,rf,"{'max_features': 'auto', 'n_estimators': 500, 'min_samples_leaf': 10, 'random_state': 42, 'class_weight': None}","['indexpred', 'bathrooms', 'bedroomspred', 'price', 'price_sq', 'price_log', 'description_length', 'num_photos', 'num_features', 'latitude', 'longitude', 'indexword', u'access', u'amazing', u'amenities', u'apartment', u'apartments', u'appliances', u'area', u'available', u'bath', u'bathroom', u'beautiful', u'bedroom', u'bedroomsword', u'bond', u'br', u'broker', u'building', u'ceilings', u'center', u'central', u'city', u'close', u'closet', u'closets', u'com', u'concierge', u'contact', u'deck', u'dishwasher', u'doorman', u'dryer', u'east', u'elevator', u'email', u'equal', u'estate', u'features', u'fee', u'fitness', u'floor', u'floors', u'free', u'granite', u'great', u'hardwood', u'high', u'home', u'hour', u'housing', u'including', u'information', u'just', u'kagglemanager', u'kitchen', u'large', u'laundry', u'li', u'light', u'living', u'located', u'location', u'luxury', u'manhattan', u'marble', u'modern', u'new', u'opportunity', u'park', u'private', u'real', u'renovated', u'renthop', u'restaurants', u'room', u'schedule', u'shopping', u'size', u'sized', u'space', u'spacious', u'stainless', u'steel', u'steps', u'storage', u'street', u'studio', u'subway', u'supports', u'text', u'today', u'unit', u'view', u'viewing', u'views', u'walk', u'washer', u'website_redacted', u'west', u'windows']",2017-03-18 01:38
0.721788450206,"[[9324  148   32]
 [2649  283   72]
 [ 697  179  192]]","[ 0.02052351  0.00359046  0.08823257  0.17697474  0.          0.
  0.03321751  0.04644429  0.06645819  0.0580959   0.0793375   0.01948112
  0.00257123  0.00407691  0.00206162  0.00776002  0.00250174  0.00277971
  0.00150568  0.00236275  0.00671763  0.00460968  0.00164466  0.00745888
  0.00998379  0.00111188  0.03087792  0.00136669  0.00518879  0.0053741
  0.00271022  0.00410007  0.00046328  0.00498031  0.00282604  0.0022701
  0.02251564  0.00247857  0.00442437  0.00027797  0.00363678  0.00305768
  0.00157517  0.00365995  0.00247857  0.0022701   0.00152884  0.00398425
  0.00289553  0.01137364  0.00150568  0.00090341  0.00222377  0.00398425
  0.0041464   0.00393792  0.00370628  0.0012972   0.01072504  0.00145935
  0.00020848  0.00217744  0.00213111  0.0038221   0.00945101  0.00407691
  0.01026176  0.00231642  0.00213111  0.0025249   0.00266389  0.00528145
  0.00681029  0.00132036  0.00120454  0.00169099  0.00340514  0.00813065
  0.00060227  0.00145935  0.00217744  0.00067176  0.00727357  0.00340514
  0.0060227   0.00120454  0.00437804  0.00481816  0.00657864  0.00514246
  0.00509613  0.00618485  0.00118138  0.00152884  0.00208478  0.00261756
  0.00053278  0.00196896  0.00722724  0.          0.00917304  0.00551309
  0.00280287  0.00157517  0.0019458   0.00173732  0.00115821  0.00048645
  0.01331943  0.00692611  0.00389159]",0.632577492302,xgb,"{'n_estimators': 500, 'objective': 'multi:softprob', 'learning_rate': 0.01, 'max_depth': 5}","['indexpred', 'bathrooms', 'bedroomspred', 'price', 'price_sq', 'price_log', 'description_length', 'num_photos', 'num_features', 'latitude', 'longitude', 'indexword', u'access', u'amazing', u'amenities', u'apartment', u'apartments', u'appliances', u'area', u'available', u'bath', u'bathroom', u'beautiful', u'bedroom', u'bedroomsword', u'bond', u'br', u'broker', u'building', u'ceilings', u'center', u'central', u'city', u'close', u'closet', u'closets', u'com', u'concierge', u'contact', u'deck', u'dishwasher', u'doorman', u'dryer', u'east', u'elevator', u'email', u'equal', u'estate', u'features', u'fee', u'fitness', u'floor', u'floors', u'free', u'granite', u'great', u'hardwood', u'high', u'home', u'hour', u'housing', u'including', u'information', u'just', u'kagglemanager', u'kitchen', u'large', u'laundry', u'li', u'light', u'living', u'located', u'location', u'luxury', u'manhattan', u'marble', u'modern', u'new', u'opportunity', u'park', u'private', u'real', u'renovated', u'renthop', u'restaurants', u'room', u'schedule', u'shopping', u'size', u'sized', u'space', u'spacious', u'stainless', u'steel', u'steps', u'storage', u'street', u'studio', u'subway', u'supports', u'text', u'today', u'unit', u'view', u'viewing', u'views', u'walk', u'washer', u'website_redacted', u'west', u'windows']",2017-03-18 06:11
0.699469652328,"[[9481   23    0]
 [2989   15    0]
 [1050   18    0]]",,0.742899337599,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","['bathrooms', 'bedrooms', 'latitude', 'longitude', 'price', 'description_length', 'num_photos', 'num_features', 'price_sq', 'price_log', 'month', 'day', 'dayofweek', 'hour']",2017-03-18 10:34
