cv_folds,model,parameters,predictors,score,score_std,timestamp
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.999690398,0.004615494,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.996592185,0.00605014,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.992815111,0.004374495,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.97531849,0.010159516,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.720793026,0.002198463,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.721607816,0.002810299,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718412196,0.002610128,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.001, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.720853231,0.002889607,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.995318082,0.004750334,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.992284427,0.004363397,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990765969,0.004426826,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.975602074,0.010450404,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718298458,0.002856564,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719517165,0.003523849,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.71700865,0.003119879,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.01, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719130944,0.004350644,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994837059,0.004746745,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989826949,0.00829132,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990610234,0.004403355,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.972861654,0.009199439,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718120923,0.002983262,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719441811,0.003510064,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716901948,0.003211268,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.71971964,0.004367131,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994789676,0.004745995,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989578492,0.008384742,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990597688,0.004399457,3/15/17 16:28
